INFO:root:Number of parameters: 4230654
INFO:root:028: Acc-tr:  96.01, Acc-val:  65.62, L-tr: 0.1353, L-val: 2.1768, Time: 316.496925
INFO:root:029: Acc-tr:  96.36, Acc-val:  65.97, L-tr: 0.1251, L-val: 2.1940, Time: 327.458424
INFO:root:030: Acc-tr:  96.53, Acc-val:  66.11, L-tr: 0.1181, L-val: 2.3245, Time: 338.492125
INFO:root:031: Acc-tr:  96.12, Acc-val:  66.69, L-tr: 0.1326, L-val: 2.2791, Time: 349.475124
INFO:root:032: Acc-tr:  96.33, Acc-val:  65.78, L-tr: 0.1234, L-val: 2.3557, Time: 360.510841
INFO:root:033: Acc-tr:  96.22, Acc-val:  67.15, L-tr: 0.1271, L-val: 2.3533, Time: 371.468216
INFO:root:034: Acc-tr:  96.32, Acc-val:  66.47, L-tr: 0.1247, L-val: 2.2816, Time: 382.535119
INFO:root:035: Acc-tr:  96.30, Acc-val:  67.21, L-tr: 0.1243, L-val: 2.3137, Time: 393.488080
INFO:root:036: Acc-tr:  96.45, Acc-val:  65.46, L-tr: 0.1187, L-val: 2.3073, Time: 404.557162
INFO:root:037: Acc-tr:  96.05, Acc-val:  66.81, L-tr: 0.1407, L-val: 2.2400, Time: 415.590167
INFO:root:038: Acc-tr:  96.73, Acc-val:  66.52, L-tr: 0.1120, L-val: 2.2156, Time: 426.632432
INFO:root:039: Acc-tr:  97.44, Acc-val:  66.05, L-tr: 0.0859, L-val: 2.3215, Time: 437.579690
INFO:root:040: Acc-tr:  97.49, Acc-val:  65.71, L-tr: 0.0838, L-val: 2.5577, Time: 448.587008
INFO:root:041: Acc-tr:  96.86, Acc-val:  65.82, L-tr: 0.1096, L-val: 2.5201, Time: 459.513298
INFO:root:042: Acc-tr:  96.92, Acc-val:  66.27, L-tr: 0.1027, L-val: 2.3547, Time: 470.591083
INFO:root:043: Acc-tr:  97.13, Acc-val:  66.68, L-tr: 0.1015, L-val: 2.4999, Time: 481.586433
INFO:root:044: Acc-tr:  96.53, Acc-val:  66.30, L-tr: 0.1192, L-val: 2.4310, Time: 492.811421
